city,lon,lat
浙江,120.159537,30.271549
山东,117.027442,36.674857
安徽,117.330539,31.734294
广东,113.272426,23.137949
湖南,112.989604,28.118269
湖北,114.348443,30.5516
河南,113.75938,34.771713
黑龙江,126.669656,45.74793
吉林,126.555634,43.843566
辽宁,123.435594,41.841466
山西,112.569376,37.879831
陕西,108.960389,34.275807
江西,115.915421,28.68169
福建,119.302446,26.10634
四川,104.073463,30.577544
内蒙古,111.772606,40.823156
广西,108.334522,22.821268
云南,102.71642,25.051562
贵州,106.714473,26.604029
海南,110.355538,20.025802
新疆,87.633475,43.799236
宁夏,106.265607,38.476878
甘肃,103.832475,36.065466
河北,114.536594,38.0432
天津,117.205914,39.090908
北京,116.413554,39.911013
上海,121.480237,31.236305
重庆,106.557165,29.570997
江苏,118.76955,32.06678
青海,101.78646,36.62716
西藏,91.12434,29.65289
